artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,cluster_label
Armin van Buuren,08RRNkA508ClDTE0QYqDYn,A State Of Trance (ASOT 874) - ASOT Live From Tommorowland 2018 Announcement,0.0879,0.527,35990,0.757,0.0,4,0.4539999999999999,-10.241,0,0.298,67.01899999999999,3,0.953,14,5
Armin van Buuren,7frbTr9qYVdeXjUUC6HwOj,"A State Of Trance (ASOT 874) - Coming Up, Pt. 3",0.151,0.5379999999999999,49120,0.858,0.0,8,0.144,-11.037,1,0.16,132.088,4,0.703,14,4
Vincent de Moor,6CHzMqs0evRZb9bczFWnyM,Fly Away (ASOT 874) - KhoMha Remix,0.000195,0.471,191930,0.888,0.893,1,0.688,-11.833,1,0.0519,130.07399999999998,4,0.304,18,0
Rub!k,1h8QJnnfhkpGDq1wLw6Wa9,Breathe Deep (ASOT 874),0.00412,0.4479999999999999,195750,0.738,0.911,11,0.2689999999999999,-11.675999999999998,1,0.0773,130.058,4,0.109,16,0
Xavier Wulf,753SBYPEiJG9wTkXBSgMce,Wake Walker,0.1689999999999999,0.8320000000000001,133349,0.457,2.94e-05,1,0.133,-10.623,1,0.172,130.026,4,0.2269999999999999,39,4
Gareth Emery,0gP7v27ftkscMDsg8LblW1,Saving Light (ASOT 874) [Service For Dreamers],0.000295,0.2689999999999999,251700,0.5660000000000001,0.0707,4,0.502,-11.095999999999998,0,0.0429,131.863,4,0.0587,18,0
Armin van Buuren,69LlMR6xB0ZzWMd8JfPmed,"A State Of Trance (ASOT 874) - Coming Up, Pt. 2",0.18,0.4529999999999999,41565,0.507,0.0,7,0.836,-12.69,1,0.303,111.266,4,0.536,16,0
Fatum,55gqdKiMHGSZ2vyyL8HMAs,Petra (ASOT 874),0.00172,0.239,107120,0.657,0.971,6,0.126,-11.322,1,0.0754,129.747,4,0.146,15,0
Alex Sonata,7vbF57ErhjDbuyrNoq24K0,I'll Be Your Light (ASOT 874),0.00564,0.299,227240,0.6409999999999999,0.000987,0,0.705,-11.93,0,0.0519,132.014,4,0.126,32,0
Armin van Buuren,0P2U58g8RHQ51exzBZglwu,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 1",0.242,0.551,34900,0.551,0.0,1,0.716,-10.970999999999998,1,0.81,172.205,5,0.759,12,5
Specific Slice,15XCwvNmzx7NhUmHWwvYEV,Inception (ASOT 874),0.0001899999999999,0.395,298810,0.8590000000000001,0.384,1,0.733,-11.906,1,0.095,131.68200000000002,4,0.251,14,0
Andy Moor,7BOPIDwfcZxrijQsmmIJNm,There Is Light (ASOT 874) - A.R.D.I. Remix,0.0001699999999999,0.4539999999999999,252150,0.966,0.715,0,0.477,-11.679,0,0.24,137.035,4,0.0536,16,0
Xavier Wulf,2vHpodBjzmquS1otuCN9Ra,A Day's Routine - Interlude,0.0025,0.6509999999999999,137179,0.857,0.493,1,0.115,-7.672000000000001,0,0.0609,169.97,5,0.139,37,1
Armin van Buuren,4b015GCZ0TsIGAx5NpDs7I,"A State Of Trance (ASOT 874) - Coming Up, Pt. 1",0.0198,0.46,31224,0.662,0.0,2,0.299,-10.579,1,0.3329999999999999,132.468,4,0.706,16,5
Armin van Buuren,38OiUD6l3Tm1jgSLGC9GNH,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 2",0.236,0.657,31110,0.471,0.0,9,0.862,-10.784,1,0.4039999999999999,77.584,3,0.867,12,5
Hamzeh,5BCnkUBpOza5RMvAc7hhhW,Frostbite (ASOT 874),0.0077599999999999,0.433,176070,0.787,0.883,8,0.39,-11.765,1,0.0378,133.515,4,0.214,14,0
MaRLo,6d4kE5Kz6ZD4XNrItzdG2m,Haunted (ASOT 874) - Avao Remix,0.000977,0.499,243540,0.722,0.515,7,0.331,-11.55,1,0.0429,136.174,4,0.0844,17,0
Armin van Buuren,3VxbUOrzirMCahEIsA1d6V,A State Of Trance (ASOT 874) - Intro,0.00276,0.291,31315,0.905,0.0,2,0.369,-10.378,1,0.165,134.22299999999998,1,0.341,17,3
